                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    126,                0.46283,                 0.3077,                0.88272,                0.93922,                0.93868,                0.97119,                0.89857,                0.42498,                0.30531,                0.87129,               0.005908,               0.005908,               0.005908
                    127,                0.46127,                0.30952,                0.87624,                0.93995,                0.93871,                0.97101,                0.89876,                0.42459,                0.30505,                0.87143,               0.005875,               0.005875,               0.005875
                    128,                0.46188,                0.31275,                0.87697,                0.93977,                 0.9381,                0.97077,                0.89823,                0.42438,                0.30629,                0.87133,               0.005842,               0.005842,               0.005842
                    129,                0.45971,                 0.3099,                0.87971,                0.94025,                0.93845,                0.97078,                0.89901,                0.42373,                0.30514,                 0.8714,               0.005809,               0.005809,               0.005809
                    130,                0.45961,                 0.3066,                0.87842,                0.94068,                 0.9374,                0.97132,                0.89978,                0.42339,                0.30524,                0.87127,               0.005776,               0.005776,               0.005776
                    131,                0.45699,                 0.3114,                0.87924,                0.94069,                0.93741,                 0.9708,                0.89968,                0.42299,                0.30546,                0.87108,               0.005743,               0.005743,               0.005743
                    132,                0.45523,                0.30446,                0.87682,                0.93907,                0.93809,                0.97085,                0.89946,                0.42258,                0.30574,                0.87079,                0.00571,                0.00571,                0.00571
                    133,                0.45071,                 0.3003,                0.87782,                0.94112,                 0.9378,                0.97028,                0.89898,                0.42178,                0.30587,                0.87057,               0.005677,               0.005677,               0.005677
                    134,                0.45202,                0.30114,                0.87316,                0.94227,                0.93766,                0.97051,                0.89925,                0.42121,                0.30541,                0.87044,               0.005644,               0.005644,               0.005644
                    135,                0.45539,                 0.3044,                0.87968,                0.93972,                0.93904,                0.97023,                0.89937,                0.42083,                0.30566,                0.87022,               0.005611,               0.005611,               0.005611
                    136,                0.45062,                0.29869,                0.87393,                0.94116,                0.93789,                0.96962,                0.89939,                0.42013,                0.30585,                0.86992,               0.005578,               0.005578,               0.005578
                    137,                0.44727,                0.29636,                0.87591,                0.94185,                0.93674,                0.96867,                0.89902,                0.41931,                 0.3054,                0.86973,               0.005545,               0.005545,               0.005545
                    138,                0.44735,                0.29986,                0.87395,                0.94313,                0.93516,                0.96932,                0.89882,                  0.419,                0.30499,                0.86938,               0.005512,               0.005512,               0.005512
                    139,                0.44399,                0.29793,                0.87264,                 0.9418,                0.93572,                0.96932,                0.89914,                0.41838,                0.30558,                0.86914,               0.005479,               0.005479,               0.005479
                    140,                0.44641,                0.30121,                0.87436,                0.94197,                0.93595,                0.97041,                0.90018,                  0.418,                0.30518,                0.86898,               0.005446,               0.005446,               0.005446
